,distance,distance_from_prev
L,0.050396323,0.050396323
ol,0.029103339,0.029103339
 well,0.033421442,0.026297398
 the,0.020013655,0.020013655
 fans,0.02391601,0.02391601
 in,0.019120162,0.019120162
 Phill,0.015745562,0.015745562
i,0.015620447,0.015620447
 are,0.01721588,0.01721588
 infamous,0.013679163,0.013679163
 so,0.013854788,0.013854788
 I,0.013595564,0.013595564
'm,0.01315126,0.01315126
 not,0.021559061,0.0147429705
 surprised,0.014165549,0.01151913
 there,0.011271285,0.009429908
 was,0.017496249,0.015350679
 an,0.010700586,0.010700586
 actual,0.010713483,0.010713483
 court,0.016594388,0.013989459
 inside,0.011327274,0.008875227
 the,0.00931109,0.00931109
 stadium,0.018113688,0.018113688
</s>,0.0,0.0
